r_fighter,b_fighter,b_sig_str,b_td,finish_round,method,r_sig_str,r_td,time_sec,winner,winner_fighter
Oban Elliott,Preston Parsons,39.8,3.25,2.48,Decision - Unanimous,58.99,2.83,275.15683,Red Corner,Oban Elliott
Paul Craig,Caio Borralho,15.09,1.0,1.5,KO/TKO,40.84,1.0,193.14734,Red Corner,Paul Craig
Payton Talbott,Yanis Ghemmouri,31.26,0.0,1.74,Decision - Unanimous,74.03,0.0,192.4274,Red Corner,Payton Talbott
Petr Yan,Deiveson Figueiredo,42.83,1.7,2.01,Decision - Unanimous,100.02,1.0,265.6678,Blue Corner,Deiveson Figueiredo
Piera Rodriguez,Ariane Carnelossi,39.84,2.48,2.29,KO/TKO,82.93,4.63,285.53464,Blue Corner,Ariane Carnelossi
Randy Brown,Bryan Battle,104.45,1.0,1.54,Decision - Unanimous,29.7,1.0,213.78236,Blue Corner,Bryan Battle
Randy Brown,Elizeu Zaleski dos Santos,43.39,1.0,1.58,Decision - Unanimous,29.93,1.0,159.51154,Red Corner,Randy Brown
Rani Yahya,Victor Henry,52.52,0.0,1.2,KO/TKO,6.72,2.82,189.68925,Red Corner,Rani Yahya
Rob Font,Kyler Phillips,113.07,1.0,2.37,Decision - Unanimous,42.47,1.0,260.26544,Red Corner,Rob Font
Robert Whittaker,Ikram Aliskerov,15.89,0.0,1.74,Decision - Unanimous,23.42,1.0,184.18408,Blue Corner,Ikram Aliskerov
Robert Whittaker,Khamzat Chimaev,36.21,1.38,2.3,KO/TKO,24.32,1.0,273.3712,Blue Corner,Khamzat Chimaev
Roman Dolidze,Kevin Holland,6.31,1.0,2.44,Decision - Unanimous,52.5,1.0,309.1587,Red Corner,Roman Dolidze
Ronaldo Rodriguez,Ode Osbourne,0.15,1.06,0.84,KO/TKO,37.97,0.0,188.9271,Red Corner,Ronaldo Rodriguez
Rose Namajunas,Tracy Cortez,77.24,2.0,3.02,Decision - Unanimous,36.04,1.0,228.33469,Blue Corner,Tracy Cortez
Ryan Spann,Bogdan Guskov,18.16,0.0,0.4,Submission,4.66,1.0,161.28212,Blue Corner,Bogdan Guskov
Ryan Spann,Ovince Saint Preux,58.01,1.0,1.08,KO/TKO,4.04,1.0,121.0803,Red Corner,Ryan Spann
Sam Patterson,Kiefer Crosbie,37.12,0.0,0.8,Decision - Unanimous,1.64,0.0,158.88263,Red Corner,Sam Patterson
Santiago Ponzinibbio,Muslim Salikhov,10.41,1.0,1.82,Decision - Unanimous,61.88,1.0,176.35176,Red Corner,Santiago Ponzinibbio
Sean Strickland,Paulo Costa,64.14,0.0,3.24,Decision - Unanimous,165.8,1.0,164.86852,Blue Corner,Paulo Costa
Sean Woodson,Fernando Padilla,14.2,0.0,2.04,Decision - Unanimous,75.86,1.0,230.11748,Blue Corner,Fernando Padilla
Sergei Pavlovich,Alexander Volkov,88.4,1.0,1.21,Decision - Unanimous,0.88,0.0,186.55193,Red Corner,Sergei Pavlovich
Shavkat Rakhmonov,Ian Machado Garry,66.89,1.0,1.97,KO/TKO,17.6,2.68,204.42867,Red Corner,Shavkat Rakhmonov
Sodiq Yusuff,Diego Lopes,36.04,0.0,2.43,Decision - Unanimous,174.58,1.0,266.24066,Red Corner,Sodiq Yusuff
Song Kenan,Muslim Salikhov,10.42,1.0,1.77,Decision - Unanimous,64.99,0.0,211.01573,Red Corner,Song Kenan
Song Kenan,Ricky Glenn,3.68,1.01,1.52,Decision - Unanimous,65.11,0.0,167.91658,Red Corner,Song Kenan
Tai Tuivasa,Jairzinho Rozenstruik,4.55,0.0,0.04,Decision - Unanimous,16.21,0.0,119.591934,Blue Corner,Jairzinho Rozenstruik
Tamires Vidal,Melissa Gatto,85.97,1.38,2.91,KO/TKO,64.74,0.0,281.17307,Red Corner,Tamires Vidal
Taylor Lapilus,Vince Morales,53.0,0.0,2.29,Decision - Unanimous,83.32,1.0,279.2488,Red Corner,Taylor Lapilus
Themba Gorimbo,Niko Price,2.0,1.0,0.0,Decision - Unanimous,12.1,0.0,57.534416,Red Corner,Themba Gorimbo
Themba Gorimbo,Ramiz Brahimaj,28.06,1.5,0.95,Decision - Unanimous,10.91,0.0,188.50728,Red Corner,Themba Gorimbo
Tom Aspinall,Curtis Blaydes,13.24,2.4,0.83,Decision - Unanimous,8.78,1.0,194.58203,Red Corner,Tom Aspinall
Tony Ferguson,Michael Chiesa,17.93,1.38,2.17,Decision - Split,40.28,1.0,264.3658,Blue Corner,Michael Chiesa
Trevor Peek,Charlie Campbell,37.85,0.0,1.74,Decision - Unanimous,55.42,0.0,188.4221,Blue Corner,Charlie Campbell
Vanessa Demopoulos,Emily Ducote,107.7,1.0,3.11,Decision - Unanimous,29.07,1.0,219.71928,Red Corner,Vanessa Demopoulos
Vicente Luque,Joaquin Buckley,69.91,1.0,2.38,Decision - Unanimous,79.09,1.0,276.72388,Red Corner,Vicente Luque
Vicente Luque,Themba Gorimbo,26.91,5.56,2.32,Decision - Unanimous,78.73,1.0,279.37936,Blue Corner,Themba Gorimbo
Virna Jandiroba,Loopy Godinez,89.93,1.0,3.52,Decision - Unanimous,26.31,4.2,221.95021,Red Corner,Virna Jandiroba
Vitor Petrino,Dustin Jacoby,89.05,0.0,1.81,Decision - Unanimous,26.18,2.81,193.6407,Red Corner,Vitor Petrino
Volkan Oezdemir,Carlos Ulberg,118.83,0.0,1.56,Decision - Unanimous,22.24,1.0,236.10863,Red Corner,Volkan Oezdemir
William Gomis,Joanderson Brito,10.71,1.0,1.39,KO/TKO,49.89,1.0,169.79276,Red Corner,William Gomis
Yana Santos,Chelsea Chandler,62.45,1.0,2.57,Decision - Unanimous,93.38,1.0,275.62262,Red Corner,Yana Santos
Yazmin Jauregui,Ketlen Souza,0.1,0.0,1.89,Decision - Unanimous,86.48,0.0,226.68318,Red Corner,Yazmin Jauregui
